
facility_id,name,city,area,doctors_available,address,contact
285,Clinic Quetta 285,Quetta,Hazara Town,228,"178 Hazara Town, Quetta",04393769042
286,General Hospital Faisalabad 286,Faisalabad,D Ground,336,"38 D Ground, Faisalabad",08451848947
287,Medical Centre Faisalabad 287,Faisalabad,D Ground,444,"125 D Ground, Faisalabad",05779071416
288,BHU Peshawar 288,Peshawar,University Road,261,"181 University Road, Peshawar",08804341651
289,Medical Centre Rawalpindi 289,Rawalpindi,Peshawar Road,210,"182 Peshawar Road, Rawalpindi",03942373334
290,District Hospital Peshawar 290,Peshawar,University Road,477,"128 University Road, Peshawar",09521117908
291,BHU Karachi 291,Karachi,Clifton,367,"162 Clifton, Karachi",07947284639
292,Clinic Islamabad 292,Islamabad,F-8,459,"217 F-8, Islamabad",07808562718
293,General Hospital Hyderabad 293,Hyderabad,Tando Wali Muhammad,56,"108 Tando Wali Muhammad, Hyderabad",06915594284
294,Medical Centre Peshawar 294,Peshawar,Hayatabad,363,"176 Hayatabad, Peshawar",05276365564
295,Clinic Hyderabad 295,Hyderabad,Qasimabad,117,"295 Qasimabad, Hyderabad",03143866322
296,District Hospital Hyderabad 296,Hyderabad,Latifabad,265,"256 Latifabad, Hyderabad",02885744890
297,District Hospital Faisalabad 297,Faisalabad,Satiana Road,80,"111 Satiana Road, Faisalabad",04717545588
298,General Hospital Quetta 298,Quetta,Samungli Road,260,"63 Samungli Road, Quetta",05939982455
299,Medical Centre Rawalpindi 299,Rawalpindi,Sadikabad,90,"196 Sadikabad, Rawalpindi",09472256996
300,District Hospital Lahore 300,Lahore,Ferozpur Road,225,"117 Ferozpur Road, Lahore",05544964759
301,Medical Centre Rawalpindi 301,Rawalpindi,Sadikabad,135,"95 Sadikabad, Rawalpindi",00234132611
302,Clinic Lahore 302,Lahore,Model Town,77,"14 Model Town, Lahore",06811492164
303,BHU Peshawar 303,Peshawar,University Road,276,"65 University Road, Peshawar",02820055778
304,Medical Centre Quetta 304,Quetta,Hazara Town,119,"277 Hazara Town, Quetta",02997968845
305,District Hospital Hyderabad 305,Hyderabad,Unit 7,462,"46 Unit 7, Hyderabad",07456424008
306,BHU Islamabad 306,Islamabad,I-8,290,"274 I-8, Islamabad",00774064930
307,District Hospital Rawalpindi 307,Rawalpindi,Satellite Town,260,"288 Satellite Town, Rawalpindi",06632663416
308,Clinic Peshawar 308,Peshawar,Zaryab Colony,463,"140 Zaryab Colony, Peshawar",04846312241
309,Medical Centre Hyderabad 309,Hyderabad,Unit 7,189,"252 Unit 7, Hyderabad",03502080214
310,Medical Centre Quetta 310,Quetta,Sariab Road,422,"5 Sariab Road, Quetta",03120735647
311,General Hospital Multan 311,Multan,Cantt,219,"42 Cantt, Multan",02046187234
312,General Hospital Faisalabad 312,Faisalabad,Satiana Road,443,"128 Satiana Road, Faisalabad",06730371837
313,BHU Faisalabad 313,Faisalabad,Clock Tower,131,"22 Clock Tower, Faisalabad",08814743503
314,Medical Centre Lahore 314,Lahore,Gulberg,216,"8 Gulberg, Lahore",02491630097
315,BHU Sialkot 315,Sialkot,Paris Road,444,"46 Paris Road, Sialkot",03271950052
316,District Hospital Rawalpindi 316,Rawalpindi,Murree Road,299,"120 Murree Road, Rawalpindi",05857306524
317,Medical Centre Karachi 317,Karachi,Clifton,336,"151 Clifton, Karachi",08739285574
318,District Hospital Sialkot 318,Sialkot,Hajipura,85,"272 Hajipura, Sialkot",02744857086
319,Clinic Islamabad 319,Islamabad,F-8,488,"187 F-8, Islamabad",09351863878
320,BHU Islamabad 320,Islamabad,F-10,215,"210 F-10, Islamabad",05118102203
321,District Hospital Lahore 321,Lahore,Model Town,100,"17 Model Town, Lahore",09678994053
322,General Hospital Sialkot 322,Sialkot,Ugoki Road,156,"252 Ugoki Road, Sialkot",01705865094
323,General Hospital Rawalpindi 323,Rawalpindi,Murree Road,477,"156 Murree Road, Rawalpindi",01381138633
324,Clinic Rawalpindi 324,Rawalpindi,Peshawar Road,370,"92 Peshawar Road, Rawalpindi",08861957612
325,Medical Centre Islamabad 325,Islamabad,F-10,308,"173 F-10, Islamabad",02897558556
326,Clinic Faisalabad 326,Faisalabad,Clock Tower,173,"289 Clock Tower, Faisalabad",08368457760
327,Clinic Karachi 327,Karachi,North Nazimabad,58,"266 North Nazimabad, Karachi",02404335048
328,Clinic Rawalpindi 328,Rawalpindi,Sadar,342,"80 Sadar, Rawalpindi",01075224593
329,BHU Peshawar 329,Peshawar,Hayatabad,97,"293 Hayatabad, Peshawar",06931572791
330,General Hospital Sialkot 330,Sialkot,Cantonment,424,"296 Cantonment, Sialkot",06105566139
331,General Hospital Karachi 331,Karachi,Clifton,206,"269 Clifton, Karachi",00589258320
332,Clinic Faisalabad 332,Faisalabad,Peoples Colony,344,"259 Peoples Colony, Faisalabad",01364622517
333,Clinic Sialkot 333,Sialkot,Ugoki Road,254,"135 Ugoki Road, Sialkot",01686227837
334,District Hospital Faisalabad 334,Faisalabad,D Ground,337,"269 D Ground, Faisalabad",03314659116
335,BHU Faisalabad 335,Faisalabad,Clock Tower,147,"165 Clock Tower, Faisalabad",05904259792
336,District Hospital Hyderabad 336,Hyderabad,Latifabad,152,"192 Latifabad, Hyderabad",02110392405
337,Medical Centre Lahore 337,Lahore,Johar Town,291,"12 Johar Town, Lahore",05383388487
338,General Hospital Sialkot 338,Sialkot,Paris Road,242,"299 Paris Road, Sialkot",08042043940
339,General Hospital Hyderabad 339,Hyderabad,Latifabad,248,"139 Latifabad, Hyderabad",05104636815
340,Clinic Hyderabad 340,Hyderabad,Unit 7,95,"96 Unit 7, Hyderabad",03878003845
341,District Hospital Hyderabad 341,Hyderabad,Hali Road,59,"178 Hali Road, Hyderabad",05543840460
342,District Hospital Rawalpindi 342,Rawalpindi,Satellite Town,127,"175 Satellite Town, Rawalpindi",06216893639
343,BHU Islamabad 343,Islamabad,Blue Area,359,"169 Blue Area, Islamabad",07823298324
344,Medical Centre Rawalpindi 344,Rawalpindi,Peshawar Road,444,"75 Peshawar Road, Rawalpindi",09251881252
345,Medical Centre Karachi 345,Karachi,North Nazimabad,260,"156 North Nazimabad, Karachi",07423122099
346,Clinic Quetta 346,Quetta,Hazara Town,363,"119 Hazara Town, Quetta",09330517289
347,District Hospital Hyderabad 347,Hyderabad,Tando Wali Muhammad,486,"199 Tando Wali Muhammad, Hyderabad",07722330604
348,District Hospital Faisalabad 348,Faisalabad,Canal Road,437,"105 Canal Road, Faisalabad",01279757366
349,Medical Centre Karachi 349,Karachi,F.B. Area,418,"161 F.B. Area, Karachi",06999880817
350,District Hospital Hyderabad 350,Hyderabad,Latifabad,315,"276 Latifabad, Hyderabad",06086803476
351,Medical Centre Quetta 351,Quetta,Samungli Road,135,"217 Samungli Road, Quetta",04908277181
352,Clinic Islamabad 352,Islamabad,F-10,119,"202 F-10, Islamabad",06570279371
353,District Hospital Quetta 353,Quetta,Samungli Road,417,"64 Samungli Road, Quetta",01175186892
354,Medical Centre Faisalabad 354,Faisalabad,D Ground,72,"88 D Ground, Faisalabad",05922220644
355,District Hospital Hyderabad 355,Hyderabad,Tando Wali Muhammad,110,"68 Tando Wali Muhammad, Hyderabad",03094077780
356,District Hospital Sialkot 356,Sialkot,Model Town,161,"244 Model Town, Sialkot",07671990384
357,District Hospital Sialkot 357,Sialkot,Hajipura,75,"95 Hajipura, Sialkot",02050209945
358,General Hospital Lahore 358,Lahore,Ferozpur Road,263,"92 Ferozpur Road, Lahore",02499982795
359,BHU Karachi 359,Karachi,Saddar,215,"189 Saddar, Karachi",06168147214
360,Medical Centre Multan 360,Multan,Kalma Chowk,318,"108 Kalma Chowk, Multan",03901981794
361,BHU Faisalabad 361,Faisalabad,D Ground,182,"270 D Ground, Faisalabad",09952997877
362,District Hospital Islamabad 362,Islamabad,F-10,412,"149 F-10, Islamabad",03010713966
363,BHU Karachi 363,Karachi,North Nazimabad,336,"109 North Nazimabad, Karachi",00344144885
364,BHU Karachi 364,Karachi,Saddar,224,"203 Saddar, Karachi",09902355770
365,District Hospital Islamabad 365,Islamabad,Blue Area,371,"236 Blue Area, Islamabad",08576084958
366,District Hospital Rawalpindi 366,Rawalpindi,Murree Road,345,"170 Murree Road, Rawalpindi",05124056829
367,District Hospital Sialkot 367,Sialkot,Model Town,354,"60 Model Town, Sialkot",04504617357
368,Clinic Quetta 368,Quetta,Sariab Road,204,"90 Sariab Road, Quetta",01503178078
369,BHU Islamabad 369,Islamabad,G-9,297,"269 G-9, Islamabad",04521823076
370,General Hospital Rawalpindi 370,Rawalpindi,Murree Road,209,"23 Murree Road, Rawalpindi",09157018409
371,BHU Quetta 371,Quetta,Sariab Road,152,"99 Sariab Road, Quetta",04485714224
372,Clinic Lahore 372,Lahore,Ferozpur Road,336,"264 Ferozpur Road, Lahore",01385854249
373,General Hospital Peshawar 373,Peshawar,University Road,209,"174 University Road, Peshawar",08702070160
374,Medical Centre Lahore 374,Lahore,Model Town,141,"229 Model Town, Lahore",09545381792
375,General Hospital Lahore 375,Lahore,Model Town,283,"159 Model Town, Lahore",07733294562
376,Medical Centre Multan 376,Multan,Boson Road,299,"16 Boson Road, Multan",01715772459
377,Clinic Sialkot 377,Sialkot,Paris Road,102,"208 Paris Road, Sialkot",01581487696
378,District Hospital Peshawar 378,Peshawar,Zaryab Colony,330,"82 Zaryab Colony, Peshawar",07615396695
379,District Hospital Rawalpindi 379,Rawalpindi,Peshawar Road,389,"40 Peshawar Road, Rawalpindi",09719975817
380,Medical Centre Islamabad 380,Islamabad,I-8,85,"56 I-8, Islamabad",09657013290
381,Medical Centre Islamabad 381,Islamabad,G-9,322,"150 G-9, Islamabad",06997335494
382,General Hospital Faisalabad 382,Faisalabad,Clock Tower,348,"5 Clock Tower, Faisalabad",09862405800
383,General Hospital Rawalpindi 383,Rawalpindi,Satellite Town,490,"145 Satellite Town, Rawalpindi",00369656666
384,District Hospital Rawalpindi 384,Rawalpindi,Peshawar Road,293,"72 Peshawar Road, Rawalpindi",03865624220
385,District Hospital Lahore 385,Lahore,Ferozpur Road,419,"250 Ferozpur Road, Lahore",06212679692
386,Medical Centre Hyderabad 386,Hyderabad,Unit 7,332,"231 Unit 7, Hyderabad",06532690973
387,Medical Centre Rawalpindi 387,Rawalpindi,Satellite Town,329,"296 Satellite Town, Rawalpindi",05009751971
388,BHU Islamabad 388,Islamabad,F-10,288,"265 F-10, Islamabad",01891371894
389,BHU Sialkot 389,Sialkot,Ugoki Road,323,"6 Ugoki Road, Sialkot",07787956544
390,Clinic Islamabad 390,Islamabad,F-8,433,"156 F-8, Islamabad",09407929049
391,Medical Centre Karachi 391,Karachi,North Nazimabad,92,"65 North Nazimabad, Karachi",08144294440
392,District Hospital Lahore 392,Lahore,DHA,352,"78 DHA, Lahore",07524372805
393,Clinic Lahore 393,Lahore,Gulberg,470,"79 Gulberg, Lahore",07663723950
394,General Hospital Quetta 394,Quetta,Jinnah Road,135,"238 Jinnah Road, Quetta",06747836674
395,Medical Centre Islamabad 395,Islamabad,F-10,56,"148 F-10, Islamabad",07658018569
396,BHU Quetta 396,Quetta,Samungli Road,186,"51 Samungli Road, Quetta",04967393852
397,General Hospital Multan 397,Multan,Kalma Chowk,394,"5 Kalma Chowk, Multan",01061817534
398,General Hospital Quetta 398,Quetta,Sariab Road,62,"48 Sariab Road, Quetta",00939111926
399,General Hospital Sialkot 399,Sialkot,Paris Road,406,"95 Paris Road, Sialkot",04471746542
400,General Hospital Lahore 400,Lahore,Johar Town,245,"199 Johar Town, Lahore",05044271739
401,Medical Centre Faisalabad 401,Faisalabad,Canal Road,105,"74 Canal Road, Faisalabad",08639174101
402,BHU Lahore 402,Lahore,DHA,447,"229 DHA, Lahore",00720064256
403,Clinic Sialkot 403,Sialkot,Ugoki Road,412,"252 Ugoki Road, Sialkot",07661830671
404,BHU Sialkot 404,Sialkot,Hajipura,220,"156 Hajipura, Sialkot",06015851743
405,General Hospital Islamabad 405,Islamabad,F-10,246,"98 F-10, Islamabad",04615717320
406,Clinic Peshawar 406,Peshawar,Khyber Road,172,"251 Khyber Road, Peshawar",06184787005
407,General Hospital Karachi 407,Karachi,North Nazimabad,257,"61 North Nazimabad, Karachi",03878293102
408,Medical Centre Hyderabad 408,Hyderabad,Latifabad,366,"24 Latifabad, Hyderabad",03202041792
409,General Hospital Sialkot 409,Sialkot,Ugoki Road,108,"255 Ugoki Road, Sialkot",09931365651
410,District Hospital Sialkot 410,Sialkot,Hajipura,214,"110 Hajipura, Sialkot",00925114262
411,District Hospital Multan 411,Multan,Kalma Chowk,274,"125 Kalma Chowk, Multan",09021962071
412,District Hospital Karachi 412,Karachi,Saddar,95,"146 Saddar, Karachi",06723248763
413,General Hospital Islamabad 413,Islamabad,F-10,355,"93 F-10, Islamabad",07914560833
414,General Hospital Lahore 414,Lahore,DHA,366,"186 DHA, Lahore",08837340312
415,District Hospital Hyderabad 415,Hyderabad,Hali Road,131,"23 Hali Road, Hyderabad",00543645970
416,Clinic Lahore 416,Lahore,Ferozpur Road,140,"81 Ferozpur Road, Lahore",00781137995
417,BHU Faisalabad 417,Faisalabad,Canal Road,167,"57 Canal Road, Faisalabad",05313636317
418,General Hospital Sialkot 418,Sialkot,Model Town,273,"75 Model Town, Sialkot",03972652735
419,BHU Quetta 419,Quetta,Sariab Road,115,"17 Sariab Road, Quetta",09042177625
420,Clinic Peshawar 420,Peshawar,Hayatabad,130,"88 Hayatabad, Peshawar",09831687397
421,General Hospital Hyderabad 421,Hyderabad,Tando Wali Muhammad,423,"220 Tando Wali Muhammad, Hyderabad",03356939290
422,General Hospital Faisalabad 422,Faisalabad,Satiana Road,290,"259 Satiana Road, Faisalabad",00686717731
423,Medical Centre Rawalpindi 423,Rawalpindi,Murree Road,161,"68 Murree Road, Rawalpindi",05431074279
424,Medical Centre Sialkot 424,Sialkot,Ugoki Road,287,"71 Ugoki Road, Sialkot",06257016580
425,BHU Quetta 425,Quetta,Cantt,407,"278 Cantt, Quetta",09319508501
426,Medical Centre Faisalabad 426,Faisalabad,Clock Tower,366,"21 Clock Tower, Faisalabad",05528183253
427,Medical Centre Rawalpindi 427,Rawalpindi,Murree Road,427,"298 Murree Road, Rawalpindi",03355486401
428,Medical Centre Multan 428,Multan,Boson Road,298,"257 Boson Road, Multan",08178847951
429,General Hospital Peshawar 429,Peshawar,Saddar,91,"201 Saddar, Peshawar",02411241272
430,General Hospital Peshawar 430,Peshawar,Zaryab Colony,200,"214 Zaryab Colony, Peshawar",08275670431
431,Clinic Karachi 431,Karachi,Gulshan-e-Iqbal,380,"172 Gulshan-e-Iqbal, Karachi",06955798877
432,District Hospital Quetta 432,Quetta,Hazara Town,454,"157 Hazara Town, Quetta",02437540254
433,Clinic Hyderabad 433,Hyderabad,Qasimabad,132,"275 Qasimabad, Hyderabad",04222231059
434,BHU Islamabad 434,Islamabad,Blue Area,239,"95 Blue Area, Islamabad",03805525782
435,General Hospital Rawalpindi 435,Rawalpindi,Satellite Town,62,"208 Satellite Town, Rawalpindi",07275208854
436,Clinic Hyderabad 436,Hyderabad,Tando Wali Muhammad,391,"76 Tando Wali Muhammad, Hyderabad",09751702814
437,Clinic Karachi 437,Karachi,Clifton,480,"113 Clifton, Karachi",07515093983
438,General Hospital Quetta 438,Quetta,Sariab Road,92,"276 Sariab Road, Quetta",07186375998
439,Medical Centre Karachi 439,Karachi,North Nazimabad,125,"219 North Nazimabad, Karachi",05650455478
440,Medical Centre Lahore 440,Lahore,Gulberg,429,"213 Gulberg, Lahore",07426629912
441,Medical Centre Peshawar 441,Peshawar,Hayatabad,494,"269 Hayatabad, Peshawar",05196106462
442,Clinic Rawalpindi 442,Rawalpindi,Sadikabad,436,"71 Sadikabad, Rawalpindi",03264870494
443,Medical Centre Hyderabad 443,Hyderabad,Unit 7,164,"14 Unit 7, Hyderabad",00244714627
444,General Hospital Peshawar 444,Peshawar,Khyber Road,441,"142 Khyber Road, Peshawar",07195979647
445,Clinic Lahore 445,Lahore,Johar Town,425,"295 Johar Town, Lahore",00429025725
446,BHU Islamabad 446,Islamabad,F-8,234,"215 F-8, Islamabad",05044818321
447,Clinic Sialkot 447,Sialkot,Paris Road,215,"162 Paris Road, Sialkot",04451895202
448,BHU Rawalpindi 448,Rawalpindi,Satellite Town,448,"249 Satellite Town, Rawalpindi",06521328338
449,Clinic Sialkot 449,Sialkot,Hajipura,414,"283 Hajipura, Sialkot",01671120754
450,Medical Centre Multan 450,Multan,Shujabad Road,355,"268 Shujabad Road, Multan",05240132234
451,District Hospital Islamabad 451,Islamabad,G-9,90,"218 G-9, Islamabad",01107603108
452,Medical Centre Sialkot 452,Sialkot,Ugoki Road,110,"130 Ugoki Road, Sialkot",00140119393
453,General Hospital Islamabad 453,Islamabad,I-8,96,"75 I-8, Islamabad",04955289389
454,Clinic Lahore 454,Lahore,Ferozpur Road,440,"8 Ferozpur Road, Lahore",08334280138
455,Clinic Hyderabad 455,Hyderabad,Tando Wali Muhammad,144,"226 Tando Wali Muhammad, Hyderabad",01256638361
456,Medical Centre Multan 456,Multan,Nishtar Road,106,"267 Nishtar Road, Multan",02754801571
457,Medical Centre Faisalabad 457,Faisalabad,Clock Tower,357,"160 Clock Tower, Faisalabad",07386463175
458,Medical Centre Islamabad 458,Islamabad,F-8,394,"54 F-8, Islamabad",06781126691
459,BHU Islamabad 459,Islamabad,F-8,151,"174 F-8, Islamabad",03961367499
460,BHU Quetta 460,Quetta,Cantt,293,"208 Cantt, Quetta",07842711477
461,General Hospital Peshawar 461,Peshawar,University Road,100,"28 University Road, Peshawar",01702695249
462,General Hospital Sialkot 462,Sialkot,Ugoki Road,388,"267 Ugoki Road, Sialkot",07734778485
463,General Hospital Rawalpindi 463,Rawalpindi,Sadar,441,"17 Sadar, Rawalpindi",06167567700
464,BHU Islamabad 464,Islamabad,F-10,411,"85 F-10, Islamabad",07624671978
465,Medical Centre Rawalpindi 465,Rawalpindi,Sadar,293,"288 Sadar, Rawalpindi",02806479695
466,General Hospital Quetta 466,Quetta,Samungli Road,64,"24 Samungli Road, Quetta",02559056165
467,BHU Multan 467,Multan,Cantt,78,"126 Cantt, Multan",03349114152
468,BHU Karachi 468,Karachi,F.B. Area,69,"236 F.B. Area, Karachi",06986407905
469,Medical Centre Faisalabad 469,Faisalabad,D Ground,215,"294 D Ground, Faisalabad",01713578529
470,Medical Centre Quetta 470,Quetta,Samungli Road,153,"255 Samungli Road, Quetta",01834404963
471,Clinic Sialkot 471,Sialkot,Ugoki Road,98,"173 Ugoki Road, Sialkot",04198763514
472,Medical Centre Rawalpindi 472,Rawalpindi,Satellite Town,389,"277 Satellite Town, Rawalpindi",05366498782
473,District Hospital Karachi 473,Karachi,F.B. Area,345,"256 F.B. Area, Karachi",03748969083
474,District Hospital Multan 474,Multan,Cantt,173,"78 Cantt, Multan",04665136442
475,District Hospital Quetta 475,Quetta,Hazara Town,257,"123 Hazara Town, Quetta",01230347786
476,District Hospital Faisalabad 476,Faisalabad,Satiana Road,131,"140 Satiana Road, Faisalabad",02044820700
477,Clinic Lahore 477,Lahore,Johar Town,202,"33 Johar Town, Lahore",06516231981
478,Clinic Rawalpindi 478,Rawalpindi,Sadar,178,"255 Sadar, Rawalpindi",01391559636
479,General Hospital Peshawar 479,Peshawar,University Road,139,"110 University Road, Peshawar",04764907851
480,Medical Centre Multan 480,Multan,Kalma Chowk,293,"127 Kalma Chowk, Multan",04257540900
481,Clinic Peshawar 481,Peshawar,Hayatabad,246,"159 Hayatabad, Peshawar",05183760644
482,BHU Lahore 482,Lahore,Gulberg,157,"83 Gulberg, Lahore",07560417765
483,District Hospital Faisalabad 483,Faisalabad,Satiana Road,407,"134 Satiana Road, Faisalabad",08156985700
484,District Hospital Islamabad 484,Islamabad,Blue Area,51,"206 Blue Area, Islamabad",03459112382
485,BHU Sialkot 485,Sialkot,Model Town,281,"245 Model Town, Sialkot",02429543165
486,Medical Centre Islamabad 486,Islamabad,Blue Area,477,"293 Blue Area, Islamabad",03008931734
487,Medical Centre Islamabad 487,Islamabad,F-8,366,"220 F-8, Islamabad",09421529108
488,Medical Centre Faisalabad 488,Faisalabad,Peoples Colony,110,"115 Peoples Colony, Faisalabad",03344762639
489,District Hospital Peshawar 489,Peshawar,Hayatabad,264,"93 Hayatabad, Peshawar",06204439735
490,General Hospital Sialkot 490,Sialkot,Model Town,55,"241 Model Town, Sialkot",02563669411
491,General Hospital Rawalpindi 491,Rawalpindi,Murree Road,220,"121 Murree Road, Rawalpindi",07599004896
492,BHU Quetta 492,Quetta,Cantt,117,"287 Cantt, Quetta",00924287572
493,Clinic Lahore 493,Lahore,Johar Town,271,"73 Johar Town, Lahore",04150274564
494,BHU Quetta 494,Quetta,Hazara Town,314,"161 Hazara Town, Quetta",06257287032
495,District Hospital Karachi 495,Karachi,Gulshan-e-Iqbal,68,"241 Gulshan-e-Iqbal, Karachi",04276170758
496,Medical Centre Hyderabad 496,Hyderabad,Hali Road,107,"76 Hali Road, Hyderabad",01513422849
497,Clinic Sialkot 497,Sialkot,Paris Road,52,"270 Paris Road, Sialkot",09261371504
498,BHU Lahore 498,Lahore,Model Town,352,"55 Model Town, Lahore",05201777490
499,Clinic Multan 499,Multan,Nishtar Road,281,"167 Nishtar Road, Multan",09230450189
500,Medical Centre Faisalabad 500,Faisalabad,Satiana Road,180,"92 Satiana Road, Faisalabad",03610326642
